job titles,company name,location names,work time and places,links
"<h2 class=""css-m604qf""><style data-emotion=""css o171kl"">.css-o171kl{-webkit-text-decoration:none;text-decoration:none;color:inherit;}</style><a class=""css-o171kl"" href=""/jobs/p/ItXgcrG6BIJb-Python-Developer-FlairsTech-Cairo-Egypt?o=1&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Python Developer</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Flairstech-Egypt-1631"" rel=""noreferrer"" target=""_blank"">FlairsTech -</a>","<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",/jobs/p/ItXgcrG6BIJb-Python-Developer-FlairsTech-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/N85XWmtIQKXF-Software-QAAutomation-Engineer-Python-FlairsTech-Cairo-Egypt?o=2&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Software QA/Automation Engineer [Python]</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Flairstech-Egypt-1631"" rel=""noreferrer"" target=""_blank"">FlairsTech -</a>","<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",/jobs/p/N85XWmtIQKXF-Software-QAAutomation-Engineer-Python-FlairsTech-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/K2CdXSbbloh8-Python-Developer-Anspire-Agency-Cairo-Egypt?o=3&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Python Developer</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Anspire-Agency-Egypt-14761"" rel=""noreferrer"" target=""_blank"">Anspire Agency -</a>","<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",/jobs/p/K2CdXSbbloh8-Python-Developer-Anspire-Agency-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/MXDCoyyIgDMW-Senior-Backend-Python-Engineer---Customer-Domain-Nana-Cairo-Egypt?o=4&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Senior Backend (Python) Engineer - Customer Domain</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Nana-Egypt-45086"" rel=""noreferrer"" target=""_blank"">Nana -</a>","<span class=""css-5wys0k"">Sheraton, <!-- -->Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Work From Home</span>",/jobs/p/MXDCoyyIgDMW-Senior-Backend-Python-Engineer---Customer-Domain-Nana-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/bQD0rsJgHYLu-Python-Developer---Focused-on-Cloud-Automation-GIG-Tech-Cairo-Egypt?o=5&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Python Developer - Focused on Cloud Automation</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/GIG-Tech-Egypt-55205"" rel=""noreferrer"" target=""_blank"">GIG Tech   -</a>","<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",/jobs/p/bQD0rsJgHYLu-Python-Developer---Focused-on-Cloud-Automation-GIG-Tech-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/oEVyeZLP74Kw-Senior-Quality-Automation-Engineer-Python-FlairsTech-Cairo-Egypt?o=6&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Senior Quality Automation Engineer [Python]</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Flairstech-Egypt-1631"" rel=""noreferrer"" target=""_blank"">FlairsTech -</a>","<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Work From Home</span>",/jobs/p/oEVyeZLP74Kw-Senior-Quality-Automation-Engineer-Python-FlairsTech-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/uvNTgDcNiG94-Senior-Python-Engineer-Brainology-Cairo-Egypt?o=7&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Senior Python Engineer</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Brainology-Egypt-64948"" rel=""noreferrer"" target=""_blank"">Brainology -</a>","<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",/jobs/p/uvNTgDcNiG94-Senior-Python-Engineer-Brainology-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/yA0vlccHlpwk-Senior-Backend-Developer-Python-Dafater-Cairo-Egypt?o=8&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Senior Backend Developer (Python)</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/BusinessClouds-Saudi-Arabia-27770"" rel=""noreferrer"" target=""_blank"">Dafater -</a>","<span class=""css-5wys0k"">Nasr City, <!-- -->Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Work From Home</span>",/jobs/p/yA0vlccHlpwk-Senior-Backend-Developer-Python-Dafater-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/EXLPYpjMjRiD-Senior-Python-Developer-Andela-Cairo-Egypt?o=9&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Senior Python Developer</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Andela-Egypt-69699"" rel=""noreferrer"" target=""_blank"">Andela -</a>","<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",/jobs/p/EXLPYpjMjRiD-Senior-Python-Developer-Andela-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/RsF7SJENqbb2-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=10&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Senior Software Engineer - Python</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Accept-Payment-Solutions-Egypt-43747"" rel=""noreferrer"" target=""_blank"">Paymob Solutions -</a>","<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",/jobs/p/RsF7SJENqbb2-Senior-Software-Engineer---Python-Paymob-Solutions-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/bxNaLimAkmF8-Software-Engineer-Python-Paymob-Solutions-Cairo-Egypt?o=11&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Software Engineer (Python)</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Accept-Payment-Solutions-Egypt-43747"" rel=""noreferrer"" target=""_blank"">Paymob Solutions -</a>","<span class=""css-5wys0k"">Maadi, <!-- -->Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",/jobs/p/bxNaLimAkmF8-Software-Engineer-Python-Paymob-Solutions-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/DPPsMij6kcwY-Backend-Software-Engineer-Python-FlairsTech-Cairo-Egypt?o=12&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Backend Software Engineer [Python]</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Flairstech-Egypt-1631"" rel=""noreferrer"" target=""_blank"">FlairsTech -</a>","<span class=""css-5wys0k"">Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",/jobs/p/DPPsMij6kcwY-Backend-Software-Engineer-Python-FlairsTech-Cairo-Egypt?o=12&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/BQMnq7CzEgv1-Python-API-Developer-Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=13&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Python API Developer Ocucon Team (UK) - (Alexandria)</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Procrew-Egypt-48518"" rel=""noreferrer"" target=""_blank"">Procrew -</a>","<span class=""css-5wys0k"">Alexandria, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Freelance / Project</span>",/jobs/p/BQMnq7CzEgv1-Python-API-Developer-Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=13&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/zT27Yp8xcTdV-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=14&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Senior Python Backend Developer</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/CROCOSOFT-Egypt-69766"" rel=""noreferrer"" target=""_blank"">CROCOSOFT -</a>","<span class=""css-5wys0k"">New Cairo, <!-- -->Cairo, <!-- -->Egypt </span>","<span class=""css-1ve4b75 eoyjyou0"">Work From Home</span>",/jobs/p/zT27Yp8xcTdV-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|navbg
"<h2 class=""css-m604qf""><a class=""css-o171kl"" href=""/jobs/p/MuFjKDO211Wz-Python-Django-Developer-Support-Legal-Dubai-United-Arab-Emirates?o=15&amp;l=sp&amp;t=sj&amp;a=python|search-v3|navbg"" rel=""noreferrer"" target=""_blank"">Python Django Developer</a></h2>","<a class=""css-17s97q8"" href=""https://wuzzuf.net/jobs/careers/Support Legal-United Arab Emirates-74836"" rel=""noreferrer"" target=""_blank"">Support Legal -</a>","<span class=""css-5wys0k"">Dubai, <!-- -->United Arab Emirates </span>","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",/jobs/p/MuFjKDO211Wz-Python-Django-Developer-Support-Legal-Dubai-United-Arab-Emirates?o=15&l=sp&t=sj&a=python|search-v3|navbg
Python Developer,FlairsTech -,"Cairo, Egypt ","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",
Software QA/Automation Engineer [Python],FlairsTech -,"Cairo, Egypt ","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",
Python Developer,Anspire Agency -,"New Cairo, Cairo, Egypt ","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",
Senior Backend (Python) Engineer - Customer Domain,Nana -,"Sheraton, Cairo, Egypt ","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",
Python Developer - Focused on Cloud Automation,GIG Tech   -,"Cairo, Egypt ","<span class=""css-1ve4b75 eoyjyou0"">Work From Home</span>",
Senior Quality Automation Engineer [Python],FlairsTech -,"Maadi, Cairo, Egypt ","<span class=""css-1ve4b75 eoyjyou0"">Full Time</span>",
Senior Python Engineer,Brainology -,"Cairo, Egypt ","<span class=""css-1ve4b75 eoyjyou0"">Work From Home</span>",
Senior Backend Developer (Python),Dafater -,"Nasr City, Cairo, Egypt ",Full Time,
Senior Python Developer,Andela -,"Cairo, Egypt ",Full Time,
Senior Software Engineer - Python,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full Time,
Software Engineer (Python),Paymob Solutions -,"Maadi, Cairo, Egypt ",Work From Home,
Backend Software Engineer [Python],FlairsTech -,"Cairo, Egypt ",Full Time,
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew -,"Alexandria, Egypt ",Work From Home,
Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ",Full Time,
Python Django Developer,Support Legal -,"Dubai, United Arab Emirates ",Work From Home,
,,,Full Time,
,,,Full Time,
,,,Full Time,
,,,Full Time,
,,,Freelance / Project,
,,,Work From Home,
,,,Full Time,
